symbol,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,tvl,last_updated
HNT,1.4241387767078262,864337.832946,-13.5657,-0.49105656,-3.19628217,-1.90965278,-8.84794778,-34.67314442,7.48871828,204983159.66293448,0.019,317582947.21,,2023-10-03T22:49:00.000Z
DCR,13.171346724449263,840852.0977922,21.8021,-0.42924744,-3.21411108,-1.81473767,1.34397576,-8.51358442,-20.8921437,204656171.4474081,0.0189,276598281.21,,2023-10-03T22:49:00.000Z
ANT,4.879508907627107,10013221.26435999,-24.08,0.33632968,-1.59624352,-1.38536548,14.14643747,22.67080754,18.37390064,195326019.062633,0.0181,210632223.95,,2023-10-03T22:49:00.000Z
ANKR,0.019493480995239718,10787557.75446964,-40.188,0.36915559,-1.85428926,2.31375748,7.24656209,-19.5421516,-20.0850068,194934809.95239717,0.018,194934809.95,64655578.02999,2023-10-03T22:49:00.000Z
RVN,0.014919230554349192,5905655.70776215,-21.9636,-0.65731622,-2.16579779,3.21971502,0.02056095,-16.08477617,-25.64180989,194532067.47620597,0.018,313303841.64,,2023-10-03T22:49:00.000Z
AKT,0.8723827709942319,2461248.74421199,49.4279,-0.16075123,-0.40589506,13.37943688,-9.2823101,49.3313671,52.40971268,191324172.74837518,0.0177,338954736.44,,2023-10-03T22:49:00.000Z
OCEAN,0.3065210240458443,14412451.79341658,-29.8668,-0.09695614,-1.76384847,-3.41563657,-5.43473721,-9.49523705,-7.42493884,187927776.5402773,0.0174,432194643.9,,2023-10-03T22:49:00.000Z
GMT,0.15581836023821635,13363029.01898044,-11.4109,-0.56342761,-0.35947381,2.41402038,0.76949057,-23.70012893,-29.59667541,186260852.43526277,0.0172,842219795.06,,2023-10-03T22:49:00.000Z
TOMI,2.83266475028646,32918576.70781683,0.4158,0.73868175,-3.00717892,-14.46760126,16.76448871,-10.21631883,-33.84324204,185170320.2895518,0.0171,319144513.87,,2023-10-03T22:49:00.000Z
GLM,0.183157377638103,6773133.86307671,111.0617,0.69484233,1.94168237,5.72258812,11.60350755,-11.10410743,-2.05764578,183157377.638103,0.0169,183157377.64,,2023-10-03T22:49:00.000Z
BONE,0.7876068857547128,5493933.49792059,-15.4894,-0.49909831,-0.61401481,-14.35871701,-24.67071918,-52.87122465,-24.515322,181089214.14637557,0.0168,196901721.44,,2023-10-03T22:49:00.000Z
LUNA,0.45269504414407413,36359291.08153065,-48.6071,-0.55052046,-3.50171104,1.87953553,15.23983215,-18.65451922,-25.32948801,177196350.7486483,0.0164,454624747.76,,2023-10-03T22:49:00.000Z
FET,0.21803366293027487,21062616.22894295,-7.8468,-0.004744,-2.223926,2.31917051,-15.86373388,9.64704425,-3.39106644,177117040.78781015,0.0164,251392284.63,,2023-10-03T22:49:00.000Z
LPT,6.011219019942823,26017163.61980054,-55.8265,-0.57753306,-9.14402633,9.10253812,-11.61551568,54.44613803,30.57001414,175647222.96304014,0.0163,175647222.96,,2023-10-03T22:49:00.000Z
HOT,0.001018532266002507,9562296.75177753,-18.8845,0.00402715,-1.01400333,-0.26173839,-3.80874768,-18.2141256,-26.15170231,175302073.92157394,0.0162,180911124.13,,2023-10-03T22:49:00.000Z
STORJ,0.4402755835866798,60592777.44734945,-35.1731,-0.64805104,-8.7353497,13.25300693,93.88486035,53.30839466,8.78480139,175020005.71986514,0.0162,187117122.14,,2023-10-03T22:49:00.000Z
WAVES,1.5365145675603693,19406682.23292381,-28.6989,-0.06509392,-0.87073546,1.44621877,3.72137619,-17.09899096,-20.86261705,173093138.44992244,0.016,173093138.45,,2023-10-03T22:49:00.000Z
YFI,5206.402364119579,20656534.82002984,-32.2573,-0.15793533,-0.50921757,0.46310612,-3.50267978,-15.68229436,-24.24665054,172767019.064564,0.016,190897949.08,324866758.24546,2023-10-03T22:49:00.000Z
BAL,3.2352015281746342,4139465.59264922,-28.0366,-0.08258174,-1.59538737,1.36440221,-2.87294066,-23.20803464,-31.63354189,169755816.45868737,0.0157,311066904.52,726343740.00355,2023-10-03T22:49:00.000Z
FLOKI,1.7772865998982592e-05,14671966.23053011,-60.3547,-0.78082424,-6.66127967,13.99958975,5.18436709,-17.82405988,-29.93579873,168008429.05927032,0.0156,176700904.76,,2023-10-03T22:49:00.000Z
ICX,0.1731354916251775,2798810.2626896,-33.4199,0.02763749,-0.70927643,2.00937982,7.78365046,-17.88658111,-23.3836964,167660326.4168858,0.0155,167660326.25,,2023-10-03T22:49:00.000Z
T,0.018197316627282085,9067969.60887301,-70.4709,-0.05431527,-3.29720188,2.44192895,5.60414483,-22.05106295,-22.89786065,167600332.63388646,0.0155,181973166.27,,2023-10-03T22:49:00.000Z
BLUR,0.17216148381833657,29600503.11188621,4.3056,-0.24839716,-5.60971812,1.48243985,-6.90690124,-41.66002954,-48.10334272,167173157.06929058,0.0155,516484451.46,,2023-10-03T22:49:00.000Z
SC,0.0030220674158485707,3364439.22278286,-21.4216,0.51146108,-0.69621099,3.50263463,4.65806638,-18.69064743,-13.75561699,166865419.7818854,0.0154,166934214.07,,2023-10-03T22:49:00.000Z
AUDIO,0.14658143140681898,2687313.94702157,-31.4998,-0.05280879,-0.87077545,0.79376351,0.30647822,-12.16363409,-20.27553647,164167859.65318686,0.0152,177026329.92,,2023-10-03T22:49:00.000Z
SXP,0.2798718806880444,8341362.20373702,-28.8658,-0.14297158,-1.37128675,1.22806159,12.56930398,-14.31887081,-31.80851903,162244643.8768901,0.015,162244643.88,137722.28008,2023-10-03T22:49:00.000Z
JASMY,0.0033077019152929874,24110006.01320062,-17.8489,-0.06907108,-1.41353187,-6.83059958,-6.52169039,-11.35578554,-18.22095093,161878931.32390374,0.015,165385095.76,,2023-10-03T22:49:00.000Z
BICO,0.24143963602326474,5386048.03251437,-4.2789,0.88049729,3.28223067,18.12596933,18.59273278,11.57708711,-1.18057,161039486.76261336,0.0149,241439636.02,,2023-10-03T22:49:00.000Z
GLMR,0.2113815820687209,12281300.48093203,-23.4625,-0.47727799,-4.82020915,-10.52240467,14.13429904,-7.12356367,-17.2325809,159109147.5329618,0.0147,229779106.41,,2023-10-03T22:49:00.000Z
KSM,18.744402868157,11255773.63369357,2.1508,-0.1759543,-2.04023638,-0.34029792,-0.7920622,-15.72973009,-24.41933927,158766930.31811398,0.0147,180906308.07,,2023-10-03T22:49:00.000Z
SSV,15.868864010269094,4991849.31005937,-32.7777,0.10874356,-3.3025669,-1.12488156,16.79222369,-8.63352983,-15.68322661,158688640.10269094,0.0147,174761752.26,,2023-10-03T22:49:00.000Z
ZRX,0.18609878204922461,7709761.33113899,-23.612,-0.6095684,-1.86262686,2.42045257,13.31815835,-13.91809449,-16.38743666,157717983.59031865,0.0146,186098782.05,,2023-10-03T22:49:00.000Z
IOTX,0.01656223479765988,6870024.69342982,-83.7483,-0.4277747,-3.34954885,12.8853893,22.99735238,-2.72433373,-15.95371677,156412542.87835574,0.0145,165622347.98,,2023-10-03T22:49:00.000Z
LOOM,0.12704683442911946,101989868.44614506,97.3932,1.0552105,1.3942639,6.93208257,225.54050506,172.15717045,186.26733077,154924174.69893777,0.0143,165160884.76,,2023-10-03T22:49:00.000Z
OSMO,0.3067720769282418,3249379.16139419,-23.4422,0.27487431,-0.56596739,-2.69472067,-13.87365218,-33.19086858,-37.30944338,151113090.82763317,0.014,306772076.93,,2023-10-03T22:49:00.000Z
HIVE,0.30092935112957336,4639168.0208087,169.0492,0.65662927,1.15932925,3.11420834,8.59508477,-12.82470466,-10.1244077,150690144.75806394,0.0139,150690144.76,,2023-10-03T22:49:00.000Z
BAND,1.1121232603211206,3895664.04031257,-46.369,-0.17079591,-2.08357294,7.61855936,6.79413642,-6.21068752,-10.93575128,149668337.08591008,0.0139,154561679.43,,2023-10-03T22:49:00.000Z
MC,0.33740405968737286,12324160.21298809,21.1668,-0.39224839,-6.90443705,2.58262262,7.19430644,58.3498711,76.4224577,146742004.36057693,0.0136,225997004.95,,2023-10-03T22:49:00.000Z
ONT,0.16732586398256769,6148405.65267981,-16.6244,-0.25065336,-1.00791348,0.57900058,9.29705858,-10.99689952,-13.63199118,146451882.8036311,0.0136,167325863.98,,2023-10-03T22:49:00.000Z
ETHW,1.3351651785560523,3698648.37470299,-22.6486,-0.23875674,-0.91354505,1.174305,-2.66266681,-21.73449827,-32.374951,143956173.11823463,0.0133,143956173.12,,2023-10-03T22:49:00.000Z
WAXP,0.04255728229772304,3779054.10449283,-61.0216,-0.14121738,-1.13718303,5.23376754,9.67782551,-14.54336151,-14.71515503,143192724.3173531,0.0132,172688854.73,,2023-10-03T22:49:00.000Z
ILV,39.356655407577925,3811048.12885915,-21.2994,-0.13990502,-2.01199768,1.73374217,-4.69043151,-10.65049282,-9.04974587,142400521.82573792,0.0132,379199800.59,,2023-10-03T22:49:00.000Z
AXL,0.3374162661417986,33059024.38405984,-1.5525,0.02860874,0.16480627,-0.39810704,-5.82838554,-13.40436706,-9.67396423,141783637.15062323,0.0131,371653490.65,,2023-10-03T22:49:00.000Z
TOMO,1.4091784705481638,16836751.61201826,-55.0444,-1.18175218,-0.86068028,11.0135089,11.11324716,-6.05743661,45.37888461,136451813.8237455,0.0126,140917847.05,,2023-10-03T22:49:00.000Z
SUSHI,0.583613879800711,15212980.54251716,-1.3817,-0.21622178,-1.24923964,-0.02859751,2.39579455,-15.70346321,-13.83268579,134935520.47104686,0.0125,145903469.95,275282840.85885,2023-10-03T22:49:00.000Z
IOST,0.007148979208624052,10504611.51553192,18.7604,-0.27011177,-0.90351819,1.24090419,1.85863122,-19.06079975,-15.29228243,133749495.57350834,0.0124,133749495.57,,2023-10-03T22:49:00.000Z
ONE,0.009424192891043187,7575070.61578185,-17.2051,-0.3861123,-3.14811754,-0.28841295,0.66360255,-16.51836797,-25.79274739,127870354.01593995,0.0118,132549465.79,,2023-10-03T22:49:00.000Z
MAGIC,0.5357885420663328,32956807.43614513,-7.1512,-0.47644675,-3.39550433,10.29989841,9.09581068,-25.56006397,-31.84285525,127622612.68171343,0.0118,186301180.87,,2023-10-03T22:49:00.000Z
